141830,138296,136833,135746,134499,133955,131804,129247,127517,126606,126763,125866,127690,129137,129927,133814,134404,136561,140081,136405,141718,136772,140787,140554,139387,141458,139496,139616,140185,142904,141672,141209
138246,139748,139398,137108,137212,134379,132060,129658,128852,125596,124455,124290,124650,127589,128780,131788,133336,135904,136719,137588,139118,138785,137736,136794,137544,137828,139365,139762,138865,140148,139032,141758
137817,141003,140747,140292,138597,136754,134112,132044,127530,126313,123891,123949,124368,124624,126360,131990,133749,138194,140111,141710,141410,141870,140423,140884,139091,140450,140162,138572,140014,136958,136730,140692
139402,142560,142920,143233,140763,138462,134969,131643,128544,126640,124572,123022,122783,125012,127351,131946,137902,142171,145551,148015,149230,146350,147844,145812,145768,142075,141028,138543,137640,136142,135104,136095
138030,142626,145283,144510,142917,138444,136679,132763,129077,127443,125819,125548,125960,124742,130055,135689,142813,149324,153868,156333,156332,156172,152905,150651,147556,144470,142350,138678,136477,134514,131824,137523
137223,141989,145099,144813,142745,139529,135453,132082,130370,127509,126893,126114,126520,129137,133108,138865,146021,154265,159094,160863,161516,157726,156020,153206,149773,145071,141284,136100,133852,131564,131786,133311
135549,140318,143447,142768,141497,138752,134847,132153,129372,128187,127629,128562,129449,132556,135477,142118,147536,155698,160799,164232,162975,161431,156109,153301,148598,145250,139520,134143,132147,128892,127999,132664
131676,138125,140369,141035,139101,136948,134346,130900,128923,127825,129038,128489,131735,133757,138943,142880,147598,155255,159698,164729,164345,162121,157679,153068,148872,142174,139912,135235,127758,127265,124898,130328
129125,133694,136002,135673,136510,134668,131630,129367,128811,128249,128223,128777,130898,135782,138160,143610,148127,153000,159100,163683,165633,162787,158502,153417,149199,145825,137940,131213,127257,125684,123796,128060
126856,130872,131315,131252,130974,128405,127743,129543,126717,127876,127676,131323,131352,135377,139668,144166,146762,152683,156762,161466,163838,162942,158794,154135,149550,143733,138509,132951,128413,125846,121994,126263
123086,126729,126686,125954,127691,127196,126084,124485,125559,126407,127429,128613,130994,134925,140412,143324,148521,152386,156430,160425,161736,159717,157938,154541,148136,144001,138980,134379,127107,124064,122917,124537
124270,123820,124632,123968,124306,122898,121579,122769,123254,124457,125093,127190,130386,135964,139616,144089,147815,151675,156323,157610,158278,158283,155834,152878,149808,145502,139120,134138,130491,127478,124486,124968
121641,122837,121972,122180,123505,121881,125449,120743,123232,123116,125703,128286,130887,135614,139552,144263,147476,150364,153547,155442,155939,155527,154458,152547,148542,143868,140469,135078,130867,125941,122942,123362
123528,123408,124303,121669,121670,120946,119936,125219,121296,123516,124710,127429,131302,134847,138496,142051,145522,149986,150505,152861,153555,153959,152814,150685,147656,146068,141222,133858,129984,127508,124027,123932
122985,121395,122329,123998,124176,120401,124610,123751,123677,124582,125677,128179,130859,134199,137261,140538,143454,146126,147392,150541,151753,152582,151159,149712,147905,141379,139286,134441,130850,127052,123341,123623
123617,123152,124101,125734,123869,124616,123489,125889,126327,127033,127753,128482,130086,133582,135199,138826,139452,141989,146007,147146,148621,149737,148935,146007,142997,141579,136802,133157,128738,127388,125869,124651
127083,125604,125889,126236,124797,128881,127983,128471,127989,128042,127746,129720,129935,132257,134407,136583,137750,140554,141425,144437,145479,146369,145156,144243,141910,136751,133320,130370,128608,126904,127822,127884
131057,131828,127994,128951,129193,131446,129427,129818,133058,131433,130290,129315,129354,131637,131290,132685,134724,136310,138228,139378,142222,141445,139951,137459,135911,132192,130483,128642,128044,128972,128660,131600
135308,135180,135292,132159,134272,133145,135089,134449,133328,133095,131947,130190,129026,128927,129414,131135,131091,133870,134628,136307,136905,135916,135794,134152,129893,128749,128326,126941,127550,128882,131619,132702
138234,138954,139038,138806,140445,136783,136441,137655,136865,134907,131489,131318,127538,127645,128022,126518,128214,128446,130730,130411,129959,130532,129824,126627,127604,125832,126358,128104,129566,129922,132942,134864
138714,141372,140647,141120,140492,139830,138916,138083,136443,134211,132841,131663,126507,125302,124287,125453,125631,129433,128463,128790,129363,129391,127498,126364,126830,126885,125845,128972,129962,132097,132720,135736
139815,141736,141917,143324,143140,141715,140530,137512,138010,133869,131009,128493,126464,123903,125184,124838,128181,126283,128038,128309,130414,126647,127940,128230,127181,129579,129650,130787,133014,132833,135134,137257
139644,140895,142415,143144,142826,141792,138958,138115,135305,133648,130882,128998,126357,124387,125040,126338,125850,127538,130505,132149,128904,130104,130582,131402,130740,130610,131645,134016,133887,133852,135263,136354
136048,138697,140462,141262,141887,141194,139510,135524,135004,132715,129259,126994,125650,125203,126497,127766,129247,131466,131352,130865,137183,130681,133973,133824,135149,135673,134758,135825,137199,136353,135143,137264
136694,135073,138185,139436,139750,137923,136972,136532,131642,130300,128847,126528,126794,127029,128963,130929,132967,134541,132704,135980,137978,136229,137480,134869,140730,133347,138651,137752,136518,137394,136407,133174
134838,133976,134155,136571,137556,138793,136467,132680,132899,130951,125955,128363,128385,130261,132031,134260,133715,135077,136409,136786,137836,138419,137768,142787,140534,140936,142720,139844,138603,139999,137962,135469
133329,134419,132946,134514,136305,133865,135102,131625,130361,127043,127409,128468,129475,131867,133196,134219,135980,138674,138309,136896,138979,148299,137472,141125,141018,141113,143347,141304,140934,138697,136429,134745
134921,132745,132207,132926,135264,132826,133463,131722,129399,128198,127078,128486,131368,132867,134683,135318,137432,136835,142021,140945,141950,140405,141007,139908,145143,140472,143352,141819,141566,144545,140473,136217
136203,132867,133764,134431,130925,132180,131347,128782,128405,125603,127603,128230,131126,131454,134344,136567,135779,139246,136714,136273,136167,140507,138646,138816,144570,140070,139584,144698,145241,144079,141474,137377
136806,134840,133553,132987,132273,132796,130080,128681,128030,127354,127151,128121,130164,132711,133219,134508,136691,135966,137988,139474,143369,141012,142576,142620,145559,140112,140349,146459,143779,145779,142325,139906
