iteration,agent1_score,agent2_score
490,729,1964
491,729,1969
492,732,1972
493,735,1975
494,738,1978
495,738,1983
496,741,1986
497,744,1989
498,744,1994
499,744,1999
500,747,2002
